substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification,struct_rep,cat_rep
175000,13.671874999988699,0.000078125,1365.5738796122323,593.6705369118755,0.7489255470044027,Transient,0.29357099687958926,0.15690044398203043
176000,13.749999999988628,0.000078125,1363.3157169817052,593.1833653009014,0.7476382376084449,Transient,0.2950069567967173,0.15809069038123044
177000,13.828124999988557,0.000078125,1361.0626646228193,592.6934376076651,0.7463505806984381,Transient,0.29644054288324956,0.15928417695334993
178000,13.906249999988486,0.000078125,1358.8147045343703,592.2007612329992,0.7450626040774252,Transient,0.29787176050782965,0.16048089227621787
179000,13.984374999988415,0.000078125,1356.5718187754778,591.7053484097281,0.7437743292689059,Transient,0.29930061502018634,0.16168082480422397
180000,14.062499999988344,0.000078125,1354.3339894650867,591.2072034280852,0.7424857875376554,Transient,0.3007271117511991,0.16288396286846635
181000,14.140624999988272,0.000078125,1352.1011987689737,590.7063331981182,0.7411970066360225,Transient,0.3021512560129539,0.16409029464386943
182000,14.218749999988201,0.000078125,1349.8734289113047,590.2027457224287,0.7399080127286964,Transient,0.30357305309879984,0.16529980818135423
183000,14.29687499998813,0.000078125,1347.6506621678097,589.6964471588437,0.738618834065859,Transient,0.30499250828340524,0.16651249139149024
184000,14.37499999998806,0.000078125,1345.4328808683347,589.1874452612041,0.7373294966856989,Transient,0.3064096268228107,0.1677283320530554
185000,14.453124999987988,0.000078125,1343.2200673981647,588.6757480069485,0.7360400261330979,Transient,0.3078244139544945,0.16894731781788527
186000,14.531249999987917,0.000078125,1341.0122041981915,588.1613637724155,0.734750447244612,Transient,0.30923687489742246,0.1701694362133317
187000,14.609374999987846,0.000078125,1338.809273765824,587.6443006969473,0.7334607849432446,Transient,0.3106470148521105,0.1713946746461118
188000,14.687499999987775,0.000078125,1336.6112586530528,587.1245667310376,0.7321710641783273,Transient,0.3120548390006856,0.1726230203988805
189000,14.765624999987704,0.000078125,1334.4181414676052,586.6021702403091,0.7308813091764846,Transient,0.3134603525069418,0.1738544606346404
190000,14.843749999987633,0.000078125,1332.2299048726898,586.0771195716679,0.7295915439839475,Transient,0.31486356051639447,0.17508898239816023
191000,14.921874999987562,0.000078125,1330.0465315873937,585.5494235107767,0.7283017918990339,Transient,0.31626446815634857,0.1763265726182121
192000,14.999999999987491,0.000078125,1327.868004387207,585.0190905793136,0.7270120763488565,Transient,0.31766308053594716,0.17756721811072046
193000,15.07812499998742,0.000078125,1325.694306102658,584.4861292185246,0.725722420661629,Transient,0.31905940274623806,0.17881090557680052
194000,15.156249999987349,0.000078125,1323.5254196209542,583.9505495209796,0.7244328459263121,Transient,0.32045343986022656,0.18005762160868438
